Part,Value,Device,Package,Description,POPULARITY,SPICEPREFIX,TP_SIGNAL_NAME,Column1
78L05,5V,78LXX,78LXX,VOLTAGE REGULATOR,,,,
C3,10uF,CPOL-USE2.5-6,"E2,5-6","POLARIZED CAPACITOR, American symbol",,,,
C4,47uF,CPOL-USE2.5-7,"E2,5-7","POLARIZED CAPACITOR, American symbol",,,,
D1,1N5404,1N4148DO35-10,DO35-10,DIODE,21,,,
D3,,"WIREPAD2,15/1,0","2,15/1,0",Wire PAD connect wire on PCB,2,,,
D4,4148,1N4148DO35-7,DO35-7,DIODE,58,,,
D5,,"WIREPAD2,15/1,0","2,15/1,0",Wire PAD connect wire on PCB,2,,,
D6,NZX5V1,ZENER.2,DO41-2,,,,,
D7,NZX5V1,ZENER.2,DO41-2,,,,,
DELAYCV,,35RAPC2AV,35RAPCVAV,Switchcraft 35RAPC2AV jack,,,,
DELAYLED,,LED3MM,LED3MM,LED,,,,
DELAYPOT,100K,POTS9MM_VERT,9MM_VERT,,,,,
DLYCV_CHK,,"3,17/1,3","3,17/1,3",THROUGH-HOLE PAD,3,,,
DOUT,,35RAPC2AV,35RAPCVAV,Switchcraft 35RAPC2AV jack,,,,
GATEIN,,35RAPC2AV,35RAPCVAV,Switchcraft 35RAPC2AV jack,,,,
GATEINLED,,LED3MM,LED3MM,LED,,,,
IC1,TL072D,TL072D,SO08,OP AMP,,,,
IC2,TL072_SMD,TL072_SMD,SO08,Generic Dual Op Amp,,,,
LENGTHCV,,35RAPC2AV,35RAPCVAV,Switchcraft 35RAPC2AV jack,,,,
LENGTHPOT,100K,POTS9MM_VERT,9MM_VERT,,,,,
R1,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R2,10K',R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R3,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R4,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R5,10k,R-US_0207/10,0207/10,"RESISTOR, American symbol",,,,
R6,10k,R-US_0204/5,0204/5,"RESISTOR, American symbol",,,,
R7,1K,R-US_0207/7,0207/7,"RESISTOR, American symbol",,,,
R8,4.7K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R9,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R10,10K',R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R11,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R12,10K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R13,1K,R-US_0204/7,0204/7,"RESISTOR, American symbol",,,,
R14,4.7K,R-US_0204/5,0204/5,"RESISTOR, American symbol",18,R,,
R16,1K,R-US_0204/7,0204/7,"RESISTOR, American symbol",,,,
R17,1K,R-US_0204/7,0204/7,"RESISTOR, American symbol",,,,
R18,1K,R-US_0207/15,0207/15,"RESISTOR, American symbol",0,R,,
S1,.,ALCOSWTT11,ALCOSWTT11,TINY SWITCH ON - MOM,,,,
S2,.,ALCOSWTT11,ALCOSWTT11,TINY SWITCH ON - MOM,,,,
T1,2N3904,2N3904,TO92,NPN TRANSISTOR,27,,,
T2,2N3904,2N3904,TO92,NPN TRANSISTOR,27,,,
T5,2N3904,2N3904,TO92,NPN TRANSISTOR,27,,,
T6,2N3904,2N3904,TO92,NPN TRANSISTOR,27,,,
U$1,PRO-MINI,PRO-MINI,PRO-MINI,Arduion Pro Mini Clone V1.0,,,,
